«”г «бб«Џ»;«бЏг—;«бг—я“;Џѕѕ «б г—н—« ;ѕё… «б г—н—«  (%);Џѕѕ «б ”ѕнѕ« ;Џѕѕ «б√еѕ«Ё;д”»… «бдћ«Ќ Ён «бгж«ће«  (%);«б”—Џ… «бё’жм (яг/”);«бг”«Ё… «бгёЎжЏ… (яг);гЏѕб д»÷ «бёб»;д”»… «б Џ» Ён де«н… «б‘жЎ;«б ённг «бЏ«г; ’днЁ «бб«Џ»; ’днЁ «бб«Џ»2
гЌгѕ «бЌ—»н;28;Ќ«—”;45;82.03;1;0;81.04;28.70;9.29;179;24.75;6.55;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;19;ѕЁ«Џ;63;88.87;3;6;89.81;25.21;8.96;135;10.48;8.25;гжеж»;гжеж»
ќ«бѕ «б‘г—н;18;Ќ«—”;82;81.00;2;2;77.34;24.39;8.87;126;24.90;6.17;џн— гжеж»;џн— гжеж»
—«я«д «бЏд“н;23;ж”Ў;93;86.95;9;2;81.09;31.78;5.84;131;27.61;5.54;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б‘г—н;26;ж”Ў;15;65.06;1;0;84.64;24.55;6.54;133;33.19;6.26;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;28;ѕЁ«Џ;92;66.31;0;0;66.13;28.89;8.01;177;36.44;4.75;џн— гжеж»;џн— гжеж»
Ёеѕ «б‘г—н;19;ећжг;15;93.80;8;1;42.26;33.45;8.11;145;25.96;6.63;гжеж»;џн— гжеж»
 —ян «бџ«гѕн;24;ж”Ў;16;75.97;6;2;73.07;24.36;9.11;161;35.03;9.38;гжеж»;гжеж»
√Ќгѕ «б—жнбн;28;ж”Ў;84;81.55;0;0;53.69;32.10;6.82;131;34.76;6.88;џн— гжеж»;џн— гжеж»
ќ«бѕ «б—жнбн;29;ѕЁ«Џ;69;63.53;4;0;84.45;29.80;10.11;134;33.02;6.66;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бџ«гѕн;28;Ќ«—”;55;93.88;7;4;40.89;27.85;10.77;150;11.99;7.11;џн— гжеж»;гжеж»
 —ян «бг«бян;24;ѕЁ«Џ;12;66.24;8;2;54.69;31.57;8.94;140;14.59;6.46;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЏд“н;19;Ќ«—”;9;67.70;0;1;45.77;31.25;9.35;144;25.33;8.33;гжеж»;гжеж»
д«’— «бг«бян;22;ж”Ў;65;61.46;1;0;68.28;26.54;9.91;166;21.10;8.91;гжеж»;гжеж»
Ёеѕ «б“е—«дн;28;ж”Ў;22;87.78;2;0;74.6;31.80;7.17;134;23.98;5.67;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б—жнбн;19;ѕЁ«Џ;49;62.11;6;4;40.53;34.54;6.88;160;38.05;9.23;гжеж»;гжеж»
гЌгѕ «б“е—«дн;21;ѕЁ«Џ;79;90.71;4;3;85.66;29.14;11.76;185;26.66;9.32;гжеж»;гжеж»
”Џжѕ «бг«бян;16;ж”Ў;12;89.86;8;2;70.53;27.28;10.92;136;43.74;9.46;гжеж»;гжеж»
гЌгѕ «бЌ—»н;26;Ќ«—”;68;72.25;7;5;64.11;28.70;9.84;160;12.60;8.07;гжеж»;гжеж»
гЌгѕ «бЏд“н;18;ж”Ў;41;76.65;0;0;77.19;32.38;7.25;146;11.75;8.45;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;26;ећжг;28;85.90;7;1;60;31.91;8.20;135;41.74;5.20;џн— гжеж»;џн— гжеж»
ќ«бѕ «б»бжн;21;ж”Ў;64;76.51;6;1;89.98;28.70;7.23;141;24.89;8.27;гжеж»;гжеж»
”«бг «б—жнбн;27;Ќ«—”;11;67.31;3;1;78.84;31.53;6.42;122;15.26;7.87;гжеж»;гжеж»
гЌгѕ «бЏд“н;27;ећжг;91;77.14;2;0;63.1;27.09;6.82;154;47.41;7.19;гжеж»;гжеж»
ќ«бѕ «бЏд“н;26;ж”Ў;38;61.31;10;2;52.7;31.65;6.15;127;42.52;6.12;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;19;ж”Ў;14;70.15;0;1;70.45;31.39;8.04;143;26.43;5.87;џн— гжеж»;џн— гжеж»
 —ян «б»бжн;20;ж”Ў;83;78.08;5;6;41.33;28.12;7.38;138;19.43;5.90;џн— гжеж»;џн— гжеж»
д«’— «б‘г—н;15;Ќ«—”;85;76.09;1;0;41.95;27.97;11.29;145;34.04;6.09;џн— гжеж»;џн— гжеж»
 —ян «бЏ н»н;22;ж”Ў;34;76.39;2;1;62.93;30.53;7.08;128;23.64;8.21;гжеж»;гжеж»
”Џжѕ «бЏд“н;29;Ќ«—”;11;88.25;2;0;71.52;27.90;5.95;160;25.71;9.35;гжеж»;гжеж»
д«’— «бёЌЎ«дн;21;ећжг;36;91.16;3;1;46.67;28.63;9.21;153;33.73;8.68;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;16;ѕЁ«Џ;56;63.09;8;3;52.32;32.36;8.50;167;36.43;8.06;гжеж»;гжеж»
Ёеѕ «бёЌЎ«дн;28;ж”Ў;86;64.83;2;2;57.91;29.90;9.26;176;15.72;9.36;гжеж»;гжеж»
Ёеѕ «бёЌЎ«дн;22;ж”Ў;79;71.12;0;1;85.1;27.49;11.82;134;30.40;8.66;гжеж»;гжеж»
ќ«бѕ «бЏ н»н;26;ећжг;54;71.91;3;3;57.47;33.13;7.65;143;47.94;7.19;гжеж»;гжеж»
 —ян «бџ«гѕн;26;Ќ«—”;43;79.16;3;2;63.4;25.50;9.08;121;28.54;9.71;гжеж»;гжеж»
ќ«бѕ «бёЌЎ«дн;24;ѕЁ«Џ;69;89.02;4;5;69.24;24.52;7.16;116;43.85;5.49;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бг«бян;26;ећжг;30;87.73;8;1;76.62;28.43;10.17;161;12.05;8.56;гжеж»;гжеж»
”«бг «бг«бян;23;ећжг;52;85.31;1;1;61.98;32.07;9.17;142;34.26;6.17;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;20;ѕЁ«Џ;14;91.79;9;2;60.38;32.55;7.97;131;11.56;8.76;гжеж»;гжеж»
”Џжѕ «бЏ н»н;19;Ќ«—”;54;86.90;9;4;73.6;27.40;6.61;133;22.26;5.06;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;20;ећжг;91;84.49;8;4;64.67;28.17;10.00;163;34.70;5.43;џн— гжеж»;џн— гжеж»
”Џжѕ «бёЌЎ«дн;20;ж”Ў;84;67.96;8;4;47.24;31.23;8.95;125;47.22;5.26;џн— гжеж»;џн— гжеж»
—«я«д «бг«бян;22;ѕЁ«Џ;45;79.73;3;2;65.58;25.19;6.15;161;24.19;6.79;џн— гжеж»;џн— гжеж»
д«’— «б‘г—н;21;ѕЁ«Џ;34;70.01;5;3;71.51;25.49;8.41;120;49.40;8.81;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;21;ѕЁ«Џ;26;86.79;4;1;81.95;33.42;7.59;170;31.91;5.44;џн— гжеж»;џн— гжеж»
√Ќгѕ «б»бжн;23;ѕЁ«Џ;69;68.67;9;4;48.23;27.72;11.10;149;36.11;8.62;гжеж»;гжеж»
д«’— «б“е—«дн;24;Ќ«—”;74;87.57;7;0;76.95;23.60;8.52;122;45.22;7.16;гжеж»;гжеж»
Ёеѕ «бг«бян;20;ећжг;28;61.97;8;1;78.39;32.84;6.88;143;35.52;6.05;џн— гжеж»;џн— гжеж»
д«’— «бџ«гѕн;29;ећжг;65;87.92;0;1;54.6;29.58;11.66;147;21.68;7.18;гжеж»;гжеж»
Џ»ѕ«ббе «бЌ—»н;25;ж”Ў;41;80.76;3;0;70;32.95;9.26;150;15.73;8.36;гжеж»;гжеж»
”«бг «б“е—«дн;19;ећжг;74;61.93;4;0;58.04;27.29;6.05;173;16.75;5.99;џн— гжеж»;џн— гжеж»
Ёеѕ «бЌ—»н;25;ѕЁ«Џ;43;74.03;2;0;83.39;26.68;11.42;183;49.21;7.15;џн— гжеж»;гжеж»
гЌгѕ «бџ«гѕн;25;ж”Ў;27;92.71;9;6;76.01;30.95;10.94;180;27.18;5.52;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏ н»н;22;ж”Ў;76;77.73;5;0;72.38;31.39;9.76;127;20.27;9.00;гжеж»;гжеж»
гЌгѕ «б»бжн;24;ѕЁ«Џ;83;61.44;9;0;58.85;27.96;7.68;163;40.06;7.76;гжеж»;гжеж»
 —ян «бЏ н»н;27;ѕЁ«Џ;14;67.14;7;2;75.37;34.44;9.02;147;22.96;8.03;гжеж»;гжеж»
гЌгѕ «бЌ—»н;30;ѕЁ«Џ;64;79.65;5;0;46.89;23.62;9.92;124;15.12;8.45;гжеж»;гжеж»
гЌгѕ «бџ«гѕн;21;ећжг;90;74.81;0;0;45.01;24.75;10.73;171;44.80;5.62;џн— гжеж»;џн— гжеж»
д«’— «бЌ—»н;26;Ќ«—”;23;67.96;4;3;43.49;30.67;10.73;172;16.82;8.02;гжеж»;гжеж»
”Џжѕ «бџ«гѕн;18;ѕЁ«Џ;78;94.76;2;0;78.8;29.34;8.33;163;40.24;4.91;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;25;ж”Ў;52;87.02;7;3;53.81;32.67;6.10;141;39.41;9.19;гжеж»;гжеж»
Ёеѕ «б“е—«дн;23;ећжг;7;69.41;5;1;40.03;34.25;10.48;138;13.04;7.09;гжеж»;гжеж»
ќ«бѕ «бЏд“н;24;Ќ«—”;21;75.85;4;1;50.99;30.03;8.10;170;24.31;8.01;гжеж»;гжеж»
д«’— «бџ«гѕн;21;ећжг;17;60.23;10;3;53.38;31.77;9.26;134;40.00;9.32;гжеж»;гжеж»
”«бг «бџ«гѕн;27;ж”Ў;12;65.62;8;2;50.35;28.68;11.71;151;24.66;4.60;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЌ—»н;29;Ќ«—”;72;78.94;7;0;73.79;26.93;10.73;144;30.00;7.75;гжеж»;гжеж»
Ёеѕ «б‘г—н;24;Ќ«—”;68;74.69;8;1;40.5;33.87;7.53;146;20.56;5.85;џн— гжеж»;џн— гжеж»
—«я«д «бЏд“н;23;ећжг;16;79.47;8;5;50;24.88;9.64;159;33.83;8.50;гжеж»;гжеж»
—«я«д «б“е—«дн;19;Ќ«—”;30;85.52;7;4;57.84;25.77;9.55;175;22.80;5.62;џн— гжеж»;џн— гжеж»
д«’— «бЏ н»н;23;ж”Ў;66;63.23;7;3;41.75;32.99;10.01;144;17.01;4.61;џн— гжеж»;џн— гжеж»
д«’— «б“е—«дн;23;ѕЁ«Џ;87;87.87;0;0;54.98;31.45;8.90;155;38.60;9.07;гжеж»;гжеж»
 —ян «бЏ н»н;22;ж”Ў;54;87.12;2;1;58.06;28.41;5.65;178;24.80;5.16;џн— гжеж»;џн— гжеж»
—«я«д «бЏд“н;27;ѕЁ«Џ;43;79.84;1;3;79.39;31.15;9.08;122;40.52;6.73;џн— гжеж»;џн— гжеж»
 —ян «б“е—«дн;27;Ќ«—”;62;92.03;8;0;45.27;28.09;7.42;173;32.99;6.57;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЏд“н;29;ѕЁ«Џ;17;90.88;2;0;71.86;27.57;6.70;132;36.20;7.72;гжеж»;гжеж»
”«бг «бг«бян;19;ећжг;91;80.29;2;1;79.59;33.74;9.82;172;22.49;6.03;џн— гжеж»;џн— гжеж»
ќ«бѕ «бџ«гѕн;18;Ќ«—”;53;78.33;9;3;41.25;28.27;7.88;138;11.04;5.34;џн— гжеж»;џн— гжеж»
—«я«д «б“е—«дн;25;ећжг;89;83.33;6;3;63.9;31.32;5.90;136;28.89;8.74;гжеж»;гжеж»
 —ян «бЌ—»н;25;Ќ«—”;52;78.81;7;1;67.72;26.05;11.05;125;31.96;8.39;гжеж»;гжеж»
√Ќгѕ «бЏд“н;15;ж”Ў;43;85.74;4;6;54.73;29.35;8.26;156;33.27;8.16;гжеж»;гжеж»
ќ«бѕ «бЌ—»н;18;Ќ«—”;46;75.39;11;3;64.73;29.27;9.19;125;46.28;5.65;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;23;Ќ«—”;58;94.86;0;1;84.78;33.95;10.21;165;10.02;7.50;гжеж»;гжеж»
д«’— «б‘г—н;24;Ќ«—”;23;91.46;9;0;47.33;33.76;9.36;141;13.17;7.47;гжеж»;гжеж»
”Џжѕ «б‘г—н;24;ѕЁ«Џ;74;88.21;8;6;46.03;26.03;5.64;136;24.85;7.44;гжеж»;гжеж»
Џ»ѕ«ббе «б»бжн;23;Ќ«—”;37;62.96;3;1;80.14;32.29;8.54;171;37.92;5.61;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;26;ѕЁ«Џ;87;82.02;0;2;47.85;25.24;6.78;142;43.63;7.05;џн— гжеж»;гжеж»
”Џжѕ «бг«бян;16;ж”Ў;19;88.30;9;4;69.04;32.23;8.67;169;17.30;6.94;џн— гжеж»;џн— гжеж»
Ёеѕ «б“е—«дн;19;ж”Ў;73;69.85;11;1;86.42;32.94;9.19;128;46.02;6.78;гжеж»;џн— гжеж»
”Џжѕ «бг«бян;24;ѕЁ«Џ;68;63.63;6;3;72.85;31.28;5.92;146;15.46;7.84;гжеж»;гжеж»
√Ќгѕ «бёЌЎ«дн;15;Ќ«—”;24;83.89;6;0;78.82;27.99;11.10;134;30.85;6.32;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;19;Ќ«—”;35;86.30;10;1;68.82;31.61;10.51;159;16.63;8.48;гжеж»;гжеж»
—«я«д «б—жнбн;23;Ќ«—”;31;60.05;1;0;42.87;27.12;10.05;138;46.54;8.28;гжеж»;гжеж»
 —ян «б“е—«дн;20;ж”Ў;72;84.24;2;4;77.81;29.65;8.84;140;25.90;8.22;гжеж»;гжеж»
гЌгѕ «бЏд“н;24;ећжг;33;88.85;5;3;41.82;33.36;9.39;153;38.11;7.51;гжеж»;гжеж»
гЌгѕ «бЌ—»н;20;ж”Ў;32;88.48;0;0;81.39;28.55;10.91;165;32.23;5.91;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;28;ж”Ў;21;67.75;3;1;60.39;26.80;10.71;153;16.75;5.67;џн— гжеж»;џн— гжеж»
—«я«д «б»бжн;19;ећжг;79;61.95;4;0;75.04;28.95;8.07;137;40.93;5.66;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;26;ж”Ў;21;89.14;3;1;41.18;29.56;10.51;175;20.77;8.58;гжеж»;гжеж»
гЌгѕ «бџ«гѕн;25;ж”Ў;53;73.69;1;2;41.23;29.96;11.57;174;45.66;5.91;џн— гжеж»;џн— гжеж»
ќ«бѕ «б“е—«дн;21;ећжг;47;90.61;1;0;47.46;29.10;8.04;164;15.83;5.90;џн— гжеж»;џн— гжеж»
”Џжѕ «бЏ н»н;25;Ќ«—”;27;79.36;8;4;53.37;25.98;6.73;168;22.37;6.18;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;25;ећжг;35;64.23;7;0;42.59;24.23;8.68;166;46.68;7.46;гжеж»;гжеж»
—«я«д «б‘г—н;20;ећжг;80;78.72;5;0;59.33;28.81;9.45;135;34.69;8.30;гжеж»;гжеж»
д«’— «б—жнбн;19;ж”Ў;70;74.83;6;3;89.03;28.38;8.72;159;36.28;7.78;гжеж»;гжеж»
 —ян «бЏд“н;18;Ќ«—”;45;92.48;7;4;56.86;25.72;7.55;126;42.67;8.08;гжеж»;гжеж»
√Ќгѕ «б‘г—н;26;Ќ«—”;57;63.99;0;0;42.06;28.20;7.09;141;36.31;6.12;џн— гжеж»;џн— гжеж»
 —ян «б»бжн;27;ећжг;14;73.69;2;0;43.11;32.00;11.26;132;13.08;4.83;џн— гжеж»;џн— гжеж»
—«я«д «б»бжн;24;ж”Ў;54;91.48;3;0;41.26;28.61;6.78;138;39.36;4.71;џн— гжеж»;џн— гжеж»
—«я«д «б“е—«дн;20;ећжг;16;68.54;4;1;40.05;23.85;9.82;145;20.16;9.24;гжеж»;гжеж»
Џ»ѕ«ббе «бЏд“н;19;ж”Ў;28;64.41;3;3;63.6;29.21;7.37;155;24.58;5.20;џн— гжеж»;џн— гжеж»
”Џжѕ «бЌ—»н;19;ећжг;76;78.06;9;5;61.19;31.70;11.55;119;14.18;6.28;џн— гжеж»;џн— гжеж»
 —ян «б—жнбн;25;Ќ«—”;58;83.32;0;1;84.8;32.82;6.72;159;11.21;6.57;џн— гжеж»;џн— гжеж»
 —ян «бЌ—»н;24;ж”Ў;73;61.15;10;5;56.62;27.64;8.38;170;45.98;7.98;гжеж»;гжеж»
—«я«д «бџ«гѕн;23;ећжг;74;79.08;8;1;84.02;31.17;6.66;146;26.49;8.41;гжеж»;гжеж»
 —ян «бЌ—»н;28;ѕЁ«Џ;78;64.94;9;2;61.17;29.63;5.86;145;28.86;7.52;гжеж»;гжеж»
 —ян «бЌ—»н;27;ж”Ў;54;89.89;1;0;42.42;32.45;7.39;173;19.19;5.90;џн— гжеж»;џн— гжеж»
—«я«д «б»бжн;27;ѕЁ«Џ;26;80.77;11;0;86.99;28.78;9.21;170;31.69;7.72;гжеж»;гжеж»
д«’— «бЏд“н;25;ѕЁ«Џ;43;77.92;3;1;81.4;26.72;10.77;115;34.47;8.66;гжеж»;гжеж»
д«’— «б»бжн;17;ѕЁ«Џ;72;79.23;0;0;69.48;25.01;8.84;120;28.32;5.40;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;27;ѕЁ«Џ;85;87.42;5;0;79.25;34.09;9.77;137;30.79;4.56;џн— гжеж»;џн— гжеж»
—«я«д «б“е—«дн;17;ѕЁ«Џ;37;64.21;10;1;81.57;28.77;10.14;184;44.22;7.58;гжеж»;гжеж»
√Ќгѕ «бг«бян;27;ѕЁ«Џ;28;90.56;11;5;67.02;32.29;7.28;152;43.97;8.63;гжеж»;гжеж»
”Џжѕ «бЏд“н;20;Ќ«—”;89;79.67;8;5;66.46;33.46;7.21;126;39.34;6.92;гжеж»;џн— гжеж»
”«бг «бџ«гѕн;19;ѕЁ«Џ;30;90.90;1;1;49.35;30.88;8.32;136;19.07;5.89;џн— гжеж»;џн— гжеж»
”Џжѕ «бЌ—»н;21;Ќ«—”;79;69.58;5;3;66.91;31.57;10.45;184;20.89;8.11;гжеж»;гжеж»
гЌгѕ «бЏд“н;18;ећжг;24;93.40;4;0;55.3;32.62;7.00;168;17.98;5.66;џн— гжеж»;џн— гжеж»
ќ«бѕ «б“е—«дн;22;Ќ«—”;59;84.76;3;4;43.28;29.41;6.50;137;44.38;8.56;гжеж»;гжеж»
”Џжѕ «бёЌЎ«дн;26;ећжг;22;86.22;6;1;69.03;30.42;6.42;120;26.18;7.98;гжеж»;гжеж»
Ёеѕ «бџ«гѕн;23;ж”Ў;29;78.54;7;3;53.67;28.26;8.40;153;27.55;7.93;гжеж»;гжеж»
ќ«бѕ «бёЌЎ«дн;18;Ќ«—”;9;79.68;8;5;85.63;24.91;10.68;135;43.02;8.04;гжеж»;гжеж»
√Ќгѕ «бџ«гѕн;15;Ќ«—”;73;82.85;11;0;42.46;30.43;8.03;151;15.76;7.47;гжеж»;гжеж»
”«бг «бЌ—»н;21;ѕЁ«Џ;41;85.60;1;1;71.52;27.20;9.02;164;22.51;5.64;џн— гжеж»;џн— гжеж»
Ёеѕ «б“е—«дн;26;ж”Ў;87;93.63;1;1;71.75;33.90;9.29;163;23.17;6.31;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;26;Ќ«—”;50;71.71;7;4;64.85;24.18;7.76;164;40.23;5.01;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;29;ећжг;67;89.96;0;2;79.37;28.06;7.17;170;32.22;7.45;гжеж»;гжеж»
Ёеѕ «бЌ—»н;25;ѕЁ«Џ;24;61.80;5;4;52.2;32.85;7.86;137;18.53;8.53;гжеж»;гжеж»
”«бг «бёЌЎ«дн;15;ѕЁ«Џ;14;93.80;4;1;46.47;25.90;8.79;143;34.61;8.16;гжеж»;гжеж»
гЌгѕ «б“е—«дн;24;ж”Ў;12;71.32;9;6;58.29;32.37;9.94;162;14.95;7.34;гжеж»;гжеж»
гЌгѕ «б»бжн;18;ѕЁ«Џ;85;67.82;4;3;78.78;30.42;10.16;123;35.71;7.60;гжеж»;гжеж»
 —ян «бг«бян;25;Ќ«—”;43;61.41;6;4;77.27;25.61;6.99;163;46.40;5.38;џн— гжеж»;џн— гжеж»
ќ«бѕ «бџ«гѕн;28;ећжг;47;72.56;6;3;44.25;32.13;10.74;133;51.00;5.32;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;27;ећжг;73;90.79;10;5;65.07;34.23;8.73;148;45.24;5.38;џн— гжеж»;џн— гжеж»
—«я«д «бЏ н»н;27;Ќ«—”;29;81.63;9;4;67.93;30.09;9.08;154;30.93;4.56;џн— гжеж»;џн— гжеж»
”Џжѕ «б»бжн;20;ж”Ў;18;77.78;5;2;57.05;24.76;8.31;157;44.41;8.97;гжеж»;гжеж»
ќ«бѕ «бЏ н»н;16;Ќ«—”;13;75.27;1;0;46.78;26.76;10.92;131;33.55;7.29;гжеж»;гжеж»
ќ«бѕ «бг«бян;27;ећжг;73;82.06;0;1;65.37;27.29;9.42;146;49.15;8.86;гжеж»;гжеж»
Џ»ѕ«ббе «б‘г—н;29;ж”Ў;23;65.17;3;4;63.66;27.81;6.23;177;17.04;5.66;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;24;ж”Ў;47;62.35;3;1;63.78;32.15;11.04;164;37.34;6.63;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;24;ећжг;52;78.12;7;0;67.85;27.60;6.80;156;12.23;7.93;гжеж»;гжеж»
ќ«бѕ «бг«бян;18;Ќ«—”;35;79.88;9;1;57.72;31.70;8.30;148;15.99;5.66;џн— гжеж»;џн— гжеж»
ќ«бѕ «бџ«гѕн;15;ѕЁ«Џ;6;79.16;6;1;48.34;29.26;7.91;153;34.25;4.68;џн— гжеж»;џн— гжеж»
 —ян «б»бжн;28;ж”Ў;44;76.50;7;2;56.65;33.60;11.49;154;13.70;9.60;гжеж»;гжеж»
ќ«бѕ «бЌ—»н;20;ж”Ў;87;80.81;3;0;80.55;32.08;8.47;178;15.98;7.32;гжеж»;гжеж»
гЌгѕ «б“е—«дн;24;ећжг;41;67.34;7;2;85.99;30.04;8.02;158;46.95;6.38;џн— гжеж»;џн— гжеж»
ќ«бѕ «б—жнбн;27;ж”Ў;84;74.33;5;2;73.22;26.37;10.95;179;31.04;7.10;гжеж»;гжеж»
”«бг «бёЌЎ«дн;24;ећжг;43;87.44;6;1;57.51;34.25;7.64;161;41.97;7.25;гжеж»;гжеж»
гЌгѕ «бЏ н»н;18;ж”Ў;54;93.10;4;4;44.03;33.77;6.85;135;34.79;5.37;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;22;ѕЁ«Џ;27;79.70;10;0;71.7;29.39;9.06;159;20.75;9.52;гжеж»;гжеж»
”«бг «бЏ н»н;22;Ќ«—”;20;94.29;7;0;89.67;24.78;8.75;126;13.67;6.89;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;20;ећжг;84;74.47;6;4;77.86;29.51;8.26;146;13.68;6.86;џн— гжеж»;џн— гжеж»
”Џжѕ «бг«бян;22;ѕЁ«Џ;76;84.69;2;0;59.44;28.83;7.69;180;20.79;8.87;гжеж»;гжеж»
”«бг «бёЌЎ«дн;27;ећжг;62;88.01;10;0;70.87;33.23;9.09;167;45.21;5.27;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;21;ећжг;41;84.36;2;4;50.2;26.17;7.35;158;34.93;5.24;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;23;ж”Ў;18;73.18;1;0;78.28;28.27;6.65;136;28.05;5.40;џн— гжеж»;џн— гжеж»
ќ«бѕ «б»бжн;21;ѕЁ«Џ;51;71.89;10;2;83.8;28.60;6.01;161;34.41;8.46;гжеж»;гжеж»
д«’— «б“е—«дн;21;ж”Ў;24;92.38;0;0;76.05;29.18;8.48;130;44.17;9.53;гжеж»;гжеж»
—«я«д «б»бжн;21;Ќ«—”;60;83.65;5;2;76.02;30.55;9.70;181;26.04;5.48;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;21;Ќ«—”;48;72.20;7;0;40.72;23.75;9.80;155;30.79;7.28;гжеж»;гжеж»
Џ»ѕ«ббе «бг«бян;24;ѕЁ«Џ;43;94.75;3;0;85.72;26.56;9.03;138;41.83;5.83;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;29;ж”Ў;65;76.88;10;0;66.56;25.19;5.94;166;35.04;7.61;гжеж»;гжеж»
”Џжѕ «бЏд“н;28;ѕЁ«Џ;88;74.52;3;2;43.66;23.43;10.54;168;47.98;4.95;џн— гжеж»;џн— гжеж»
ќ«бѕ «бёЌЎ«дн;20;ж”Ў;65;72.89;7;6;67.08;31.76;6.89;132;34.59;8.95;гжеж»;гжеж»
гЌгѕ «бЏд“н;18;Ќ«—”;89;85.69;8;2;73.57;32.77;8.71;131;10.83;7.52;гжеж»;гжеж»
 —ян «бг«бян;19;Ќ«—”;75;69.38;1;1;67.44;27.71;6.74;124;25.52;8.44;гжеж»;гжеж»
Џ»ѕ«ббе «бёЌЎ«дн;22;ећжг;77;68.17;2;5;68.29;29.11;10.90;117;35.03;8.79;гжеж»;гжеж»
√Ќгѕ «б‘г—н;25;ж”Ў;16;70.39;6;0;55.34;30.82;7.80;156;38.02;8.54;гжеж»;гжеж»
”«бг «бЏд“н;22;ж”Ў;56;85.04;11;6;51.9;26.14;8.36;153;18.34;6.66;џн— гжеж»;џн— гжеж»
Ёеѕ «бџ«гѕн;17;ж”Ў;85;65.88;1;1;70.97;31.55;9.92;183;44.22;7.88;гжеж»;гжеж»
Џ»ѕ«ббе «бЏ н»н;25;ѕЁ«Џ;49;60.64;2;0;69.8;32.52;5.87;168;16.35;7.48;гжеж»;гжеж»
Џ»ѕ«ббе «бЌ—»н;23;Ќ«—”;74;76.11;8;2;57.25;23.42;8.83;131;35.86;4.88;џн— гжеж»;џн— гжеж»
 —ян «б—жнбн;19;ж”Ў;77;81.59;4;3;87.66;29.75;9.70;120;43.54;7.42;гжеж»;гжеж»
гЌгѕ «бЏд“н;18;Ќ«—”;50;80.97;4;0;78.66;26.33;7.30;165;39.12;8.23;гжеж»;гжеж»
”Џжѕ «б»бжн;25;Ќ«—”;45;81.12;0;0;72.46;29.47;7.01;142;35.61;8.32;гжеж»;гжеж»
гЌгѕ «бг«бян;23;ећжг;22;76.43;5;6;52.25;29.84;7.47;158;29.99;7.68;гжеж»;гжеж»
”Џжѕ «бг«бян;24;Ќ«—”;73;89.43;2;1;68.02;27.12;6.51;155;13.80;8.83;гжеж»;гжеж»
Ёеѕ «бЏ н»н;30;ѕЁ«Џ;44;63.77;0;1;44.61;31.17;10.48;159;17.42;9.71;гжеж»;гжеж»
—«я«д «бг«бян;16;ѕЁ«Џ;15;68.02;5;6;70.88;24.97;11.29;165;14.23;6.34;џн— гжеж»;џн— гжеж»
д«’— «бЏ н»н;27;ж”Ў;79;84.93;4;3;42.57;33.77;8.14;132;38.13;5.51;џн— гжеж»;џн— гжеж»
√Ќгѕ «б»бжн;17;Ќ«—”;43;89.23;5;0;74.14;31.17;10.57;178;46.21;8.94;гжеж»;гжеж»
”«бг «б»бжн;17;ећжг;48;74.64;10;0;74.1;28.13;11.75;130;30.05;7.58;гжеж»;гжеж»
